Date,Open,Close,High,Low,Mid,FromCurrency,ToCurrency,,,
Friday 31 December 2022 (31/12/2022),1.0662,1.0704,1.0713,1.0639,1.0676,EUR,USD,,,
Friday 30 December 2022 (30/12/2022),1.0662,1.0704,1.0713,1.0639,1.0676,EUR,USD,,,
Thursday 29 December 2022 (29/12/2022),1.0612,1.0662,1.069,1.0611,1.0651,EUR,USD,,,
Wednesday 28 December 2022 (28/12/2022),1.064,1.0612,1.0674,1.0607,1.064,EUR,USD,,,
Tuesday 27 December 2022 (27/12/2022),1.0637,1.064,1.0669,1.0612,1.0641,EUR,USD,,,
Monday 26 December 2022 (26/12/2022),1.0615,1.0637,1.0639,1.0609,1.0624,EUR,USD,,,
Friday 23 December 2022 (23/12/2022),1.0598,1.0615,1.0633,1.0587,1.061,EUR,USD,,,
Thursday 22 December 2022 (22/12/2022),1.0605,1.0598,1.0659,1.0574,1.0616,EUR,USD,,,
Wednesday 21 December 2022 (21/12/2022),1.0623,1.0605,1.0644,1.059,1.0617,EUR,USD,,,
Tuesday 20 December 2022 (20/12/2022),1.0607,1.0623,1.0658,1.0579,1.0619,EUR,USD,,,
Monday 19 December 2022 (19/12/2022),1.0589,1.0607,1.0658,1.0576,1.0617,EUR,USD,,,
Friday 16 December 2022 (16/12/2022),1.0639,1.0597,1.0662,1.0572,1.0617,EUR,USD,,,
Thursday 15 December 2022 (15/12/2022),1.0676,1.0638,1.0731,1.0592,1.0662,EUR,USD,,,
Wednesday 14 December 2022 (14/12/2022),1.0623,1.0676,1.0695,1.0619,1.0657,EUR,USD,,,
Tuesday 13 December 2022 (13/12/2022),1.0541,1.0624,1.0671,1.0528,1.06,EUR,USD,,,
Monday 12 December 2022 (12/12/2022),1.0521,1.054,1.058,1.0505,1.0542,EUR,USD,,,
Friday 9 December 2022 (09/12/2022),1.0555,1.0544,1.0588,1.051,1.0549,EUR,USD,,,
Thursday 8 December 2022 (08/12/2022),1.0511,1.0555,1.0565,1.049,1.0527,EUR,USD,,,
Wednesday 7 December 2022 (07/12/2022),1.0468,1.0512,1.0549,1.0443,1.0496,EUR,USD,,,
Tuesday 6 December 2022 (06/12/2022),1.0497,1.0468,1.0533,1.0458,1.0495,EUR,USD,,,
Monday 5 December 2022 (05/12/2022),1.0543,1.0495,1.0595,1.048,1.0537,EUR,USD,,,
Friday 2 December 2022 (02/12/2022),1.0528,1.0535,1.0545,1.0429,1.0487,EUR,USD,,,
Thursday 1 December 2022 (01/12/2022),1.0423,1.0528,1.0539,1.0395,1.0467,EUR,USD,,,
Wednesday 30 November 2022 (30/11/2022),1.0324,1.0423,1.0429,1.0292,1.036,EUR,USD,,,
Tuesday 29 November 2022 (29/11/2022),1.0343,1.0322,1.0394,1.0319,1.0357,EUR,USD,,,
Monday 28 November 2022 (28/11/2022),1.0367,1.0343,1.0497,1.033,1.0413,EUR,USD,,,
Friday 25 November 2022 (25/11/2022),1.0408,1.0412,1.0429,1.0354,1.0391,EUR,USD,,,
Thursday 24 November 2022 (24/11/2022),1.0418,1.0407,1.0449,1.0383,1.0416,EUR,USD,,,
Wednesday 23 November 2022 (23/11/2022),1.0311,1.0418,1.0419,1.0297,1.0358,EUR,USD,,,
Tuesday 22 November 2022 (22/11/2022),1.0245,1.0309,1.031,1.0242,1.0276,EUR,USD,,,
Monday 21 November 2022 (21/11/2022),1.0331,1.0245,1.0333,1.0222,1.0277,EUR,USD,,,
Friday 18 November 2022 (18/11/2022),1.0361,1.0343,1.0395,1.0313,1.0354,EUR,USD,,,
Thursday 17 November 2022 (17/11/2022),1.0394,1.0361,1.0405,1.0305,1.0355,EUR,USD,,,
Wednesday 16 November 2022 (16/11/2022),1.0357,1.0393,1.0436,1.0334,1.0385,EUR,USD,,,
Tuesday 15 November 2022 (15/11/2022),1.0321,1.0359,1.0477,1.028,1.0379,EUR,USD,,,
Monday 14 November 2022 (14/11/2022),1.0327,1.032,1.0358,1.0272,1.0315,EUR,USD,,,
Friday 11 November 2022 (11/11/2022),1.0192,1.037,1.0371,1.0164,1.0267,EUR,USD,,,
Thursday 10 November 2022 (10/11/2022),1.0019,1.0192,1.0221,0.9936,1.0078,EUR,USD,,,
Wednesday 9 November 2022 (09/11/2022),1.0079,1.0019,1.0088,0.9993,1.0041,EUR,USD,,,
Tuesday 8 November 2022 (08/11/2022),1.0017,1.0081,1.0096,0.9973,1.0035,EUR,USD,,,
Monday 7 November 2022 (07/11/2022),0.993,1.0017,1.0034,0.9918,0.9976,EUR,USD,,,
Friday 4 November 2022 (04/11/2022),0.9749,0.9819,0.9982,0.9747,0.9865,EUR,USD,,,
Thursday 3 November 2022 (03/11/2022),0.9813,0.9749,0.9839,0.973,0.9784,EUR,USD,,,
Wednesday 2 November 2022 (02/11/2022),0.9878,0.9815,0.9975,0.9808,0.9892,EUR,USD,,,
Tuesday 1 November 2022 (01/11/2022),0.9886,0.9877,0.9951,0.9853,0.9902,EUR,USD,,,
Monday 31 October 2022 (31/10/2022),0.9957,0.9886,0.9965,0.9872,0.9919,EUR,USD,,,
Friday 28 October 2022 (28/10/2022),0.9967,0.996,0.9998,0.9928,0.9963,EUR,USD,,,
Thursday 27 October 2022 (27/10/2022),1.0093,0.9966,1.0093,0.9958,1.0025,EUR,USD,,,
Wednesday 26 October 2022 (26/10/2022),0.9962,1.0091,1.0094,0.9944,1.0019,EUR,USD,,,
Tuesday 25 October 2022 (25/10/2022),0.9885,0.9963,0.9976,0.985,0.9913,EUR,USD,,,
Monday 24 October 2022 (24/10/2022),0.9858,0.9884,0.9893,0.9806,0.985,EUR,USD,,,
Friday 21 October 2022 (21/10/2022),0.9778,0.985,0.9868,0.9705,0.9787,EUR,USD,,,
Thursday 20 October 2022 (20/10/2022),0.9768,0.9778,0.9845,0.9753,0.9799,EUR,USD,,,
Wednesday 19 October 2022 (19/10/2022),0.9861,0.9766,0.9867,0.9757,0.9812,EUR,USD,,,
Tuesday 18 October 2022 (18/10/2022),0.9845,0.9863,0.9875,0.9813,0.9844,EUR,USD,,,
Monday 17 October 2022 (17/10/2022),0.974,0.9843,0.9852,0.9722,0.9787,EUR,USD,,,
Friday 14 October 2022 (14/10/2022),0.9766,0.9718,0.9808,0.9709,0.9759,EUR,USD,,,
Thursday 13 October 2022 (13/10/2022),0.9703,0.9769,0.9806,0.9634,0.972,EUR,USD,,,
Wednesday 12 October 2022 (12/10/2022),0.97,0.9707,0.9733,0.9668,0.97,EUR,USD,,,
Tuesday 11 October 2022 (11/10/2022),0.9712,0.97,0.9774,0.9673,0.9723,EUR,USD,,,
Monday 10 October 2022 (10/10/2022),0.9735,0.971,0.9752,0.9682,0.9717,EUR,USD,,,
Friday 7 October 2022 (07/10/2022),0.979,0.9736,0.9816,0.9727,0.9772,EUR,USD,,,
Thursday 6 October 2022 (06/10/2022),0.9912,0.9788,0.9926,0.9782,0.9854,EUR,USD,,,
Wednesday 5 October 2022 (05/10/2022),0.9983,0.9911,0.9995,0.9835,0.9915,EUR,USD,,,
Tuesday 4 October 2022 (04/10/2022),0.9835,0.9984,0.9999,0.9806,0.9903,EUR,USD,,,
Monday 3 October 2022 (03/10/2022),0.9793,0.9832,0.9844,0.9753,0.9799,EUR,USD,,,
Friday 30 September 2022 (30/09/2022),0.9828,0.9801,0.9853,0.9735,0.9794,EUR,USD,,,
Thursday 29 September 2022 (29/09/2022),0.9706,0.9829,0.9843,0.9636,0.974,EUR,USD,,,
Wednesday 28 September 2022 (28/09/2022),0.9595,0.9707,0.9751,0.9537,0.9644,EUR,USD,,,
Tuesday 27 September 2022 (27/09/2022),0.962,0.9597,0.967,0.957,0.962,EUR,USD,,,
Monday 26 September 2022 (26/09/2022),0.9687,0.9621,0.97,0.9559,0.963,EUR,USD,,,
Friday 23 September 2022 (23/09/2022),0.9838,0.9691,0.9851,0.9668,0.976,EUR,USD,,,
Thursday 22 September 2022 (22/09/2022),0.983,0.9839,0.9906,0.9809,0.9857,EUR,USD,,,
Wednesday 21 September 2022 (21/09/2022),0.9971,0.983,0.9974,0.9815,0.9894,EUR,USD,,,
Tuesday 20 September 2022 (20/09/2022),1.0031,0.997,1.005,0.9956,1.0003,EUR,USD,,,
Monday 19 September 2022 (19/09/2022),1.0023,1.0029,1.0032,0.9966,0.9999,EUR,USD,,,
Friday 16 September 2022 (16/09/2022),0.9987,1.0005,1.0035,0.9945,0.999,EUR,USD,,,
Thursday 15 September 2022 (15/09/2022),0.9982,0.9986,1.0017,0.9955,0.9986,EUR,USD,,,
Wednesday 14 September 2022 (14/09/2022),0.9979,0.9982,1.0023,0.9961,0.9992,EUR,USD,,,
Tuesday 13 September 2022 (13/09/2022),1.0128,0.998,1.0187,0.9956,1.0071,EUR,USD,,,
Monday 12 September 2022 (12/09/2022),1.007,1.0129,1.0198,1.0063,1.013,EUR,USD,,,
Friday 9 September 2022 (09/09/2022),1.001,1.015,1.0151,1.0008,1.008,EUR,USD,,,
Thursday 8 September 2022 (08/09/2022),0.9998,1.001,1.0028,0.993,0.9979,EUR,USD,,,
Wednesday 7 September 2022 (07/09/2022),0.9897,0.9996,1.0013,0.9876,0.9945,EUR,USD,,,
Tuesday 6 September 2022 (06/09/2022),0.9951,0.9898,0.9986,0.9864,0.9925,EUR,USD,,,
Monday 5 September 2022 (05/09/2022),0.9909,0.995,0.9952,0.9878,0.9915,EUR,USD,,,
Friday 2 September 2022 (02/09/2022),0.9952,0.9951,1.0033,0.9945,0.9989,EUR,USD,,,
Thursday 1 September 2022 (01/09/2022),1.0037,0.9952,1.0048,0.9912,0.998,EUR,USD,,,
Wednesday 31 August 2022 (31/08/2022),1.0023,1.0039,1.0078,0.9971,1.0025,EUR,USD,,,
Tuesday 30 August 2022 (30/08/2022),1.0011,1.0024,1.0052,0.9982,1.0017,EUR,USD,,,
Monday 29 August 2022 (29/08/2022),0.9936,1.0012,1.0029,0.9913,0.9971,EUR,USD,,,
